,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,1711721736.9761643,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
1,1,1711721737.9846716,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
2,2,1711721738.9860802,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
3,3,1711721739.9882371,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
4,4,1711721740.991014,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
5,5,1711721741.9950948,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
6,6,1711721743.0005336,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
7,7,1711721744.0052245,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
8,8,1711721745.0104914,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
9,9,1711721746.0143764,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
10,10,1711721747.0187216,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
11,11,1711721748.0234885,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
12,12,1711721749.0286448,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
13,13,1711721750.0346615,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
14,14,1711721751.0391932,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
15,15,1711721752.0446444,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
16,16,1711721753.0493982,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
17,17,1711721754.0533981,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
18,18,1711721755.0581543,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
19,19,1711721756.0625567,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
20,20,1711721757.0667927,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
21,21,1711721758.0732136,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
22,22,1711721759.0790029,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
