,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:,x_carthesian
0,0,[],[],[],[],True,True,[]
1,1,[],[],[],[],True,True,[]
2,2,1713866989.0941172,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
3,3,1713866990.0996492,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
4,4,1713866991.1046228,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
5,5,1713866992.1080046,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
6,6,1713866993.1126263,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
7,7,1713866994.1164267,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
8,8,1713866995.1206543,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
9,9,1713866996.1264985,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
10,10,1713866997.1306224,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
11,11,1713866998.1364956,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
12,12,1713866999.1418219,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
13,13,1713867000.1457205,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
14,14,1713867001.1492736,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
15,15,1713867002.151656,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
16,16,1713867003.1552923,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
17,17,1713867004.1591084,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
18,18,1713867005.1635132,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
19,19,1713867006.1670907,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
20,20,1713867007.1710503,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
21,21,1713867008.1761231,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
22,22,1713867009.181413,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
23,23,1713867010.183993,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
24,24,1713867011.1877136,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
25,25,1713867012.191649,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
26,26,1713867013.195067,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
27,27,1713867014.1992855,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
28,28,1713867015.2014089,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
29,29,1713867016.2035425,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
30,30,1713867017.207326,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
31,31,1713867018.2094758,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
32,32,1713867019.2142677,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
33,33,1713867020.2202501,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
34,34,1713867021.2245028,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
35,35,1713867022.2278836,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
36,36,1713867023.231957,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
37,37,1713867024.2347243,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
38,38,1713867025.23891,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
39,39,1713867026.241864,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
40,40,1713867027.2449422,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
41,41,1713867028.2484202,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
42,42,1713867029.2524486,"[-1.9157760779010218, -2.282266918812887, -0.532302204762594, -4.566508714352743, -2.738554064427511, 1.9551979303359985]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[3.392029047012329, 1.4280333518981934, 0.4643097519874573, -0.008972168900072575, -0.0493469275534153, -0.3570556938648224]",0.004000000189989805,False,[]
