,N_muestra,Marca_tiempo,AO_state:
0,0,11:47:52:4.97946,True
1,1,11:47:53:4.99758,True
2,2,11:47:54:4.98689,True
3,3,11:47:55:4.98821,True
4,4,11:47:56:4.99018,True
5,5,11:47:57:4.99485,True
6,6,11:47:58:4.99105,True
7,7,11:47:59:4.98822,True
8,8,11:48:00:4.98997,True
9,9,11:48:01:4.99443,True
10,10,11:48:02:4.99003,True
11,11,11:48:03:4.98599,True
12,12,11:48:04:4.98046,True
13,13,11:48:05:4.98754,True
14,14,11:48:06:4.98483,True
15,15,11:48:07:4.99408,True
16,16,11:48:08:4.99022,True
17,17,11:48:09:4.99414,True
18,18,11:48:10:4.98930,True
19,19,11:48:11:4.98830,True
20,20,11:48:12:4.98600,True
21,21,11:48:13:4.98526,True
22,22,11:48:14:4.99202,True
23,23,11:48:15:4.98945,True
24,24,11:48:16:4.97720,True
25,25,11:48:17:4.99245,True
26,26,11:48:18:4.99160,True
27,27,11:48:19:4.98772,True
28,28,11:48:20:4.99744,True
29,29,11:48:21:4.99754,True
30,30,11:48:22:4.99105,True
31,31,11:48:23:4.98351,True
32,32,11:48:24:4.98690,True
33,33,11:48:25:4.99276,True
34,34,11:48:26:4.98956,True
35,35,11:48:27:4.97618,True
36,36,11:48:28:4.99617,True
37,37,11:48:29:4.99599,True
38,38,11:48:30:4.98981,True
39,39,11:48:31:4.98727,True
40,40,11:48:32:4.99205,True
41,41,11:48:33:4.99535,True
42,42,11:48:34:4.98993,True
43,43,11:48:35:4.98295,True
44,44,11:48:36:4.98574,True
45,45,11:48:37:4.99447,True
46,46,11:48:38:4.97684,True
47,47,11:48:39:4.98281,True
48,48,11:48:40:4.98940,True
49,49,11:48:41:4.99320,True
50,50,11:48:42:4.99542,True
