q1,q2,q3,q4,q5,q6
-0.0053408,-0.055992,0.0043671,0.08043,0.31342,-0.012716
-0.0052376,-0.055985,0.0043339,0.079662,0.3206,-0.012887
-0.0051346,-0.055977,0.0042999,0.078896,0.32778,-0.013054
-0.0050319,-0.055969,0.0042652,0.078131,0.33496,-0.013216
-0.0049294,-0.055962,0.0042297,0.077369,0.34214,-0.013373
-0.0048271,-0.055954,0.0041935,0.07661,0.34932,-0.013525
-0.0047252,-0.055947,0.0041565,0.075852,0.3565,-0.013672
-0.0046235,-0.055939,0.0041188,0.075096,0.36368,-0.013815
-0.004522,-0.055932,0.0040804,0.074343,0.37086,-0.013952
-0.0044208,-0.055924,0.0040412,0.073592,0.37804,-0.014085
-0.00432,-0.055917,0.0040013,0.072843,0.38522,-0.014213
-0.0042194,-0.055909,0.0039607,0.072097,0.3924,-0.014336
-0.0041191,-0.055902,0.0039193,0.071352,0.39958,-0.014455
-0.0040191,-0.055894,0.0038772,0.07061,0.40676,-0.014568
-0.0039194,-0.055887,0.0038344,0.06987,0.41394,-0.014677
-0.00382,-0.055879,0.0037909,0.069132,0.42112,-0.014782
-0.0037209,-0.055871,0.0037466,0.068397,0.4283,-0.014881
-0.0036221,-0.055864,0.0037017,0.067664,0.43548,-0.014977
-0.0035237,-0.055856,0.003656,0.066933,0.44266,-0.015067
-0.0034256,-0.055849,0.0036096,0.066204,0.44984,-0.015153
-0.0033278,-0.055841,0.0035625,0.065478,0.45702,-0.015234
-0.0032304,-0.055834,0.0035147,0.064754,0.4642,-0.015311
-0.0031333,-0.055826,0.0034662,0.064032,0.47138,-0.015383
-0.0030366,-0.055819,0.003417,0.063313,0.47857,-0.015451
-0.0029402,-0.055811,0.0033671,0.062595,0.48575,-0.015514
-0.0028442,-0.055804,0.0033164,0.06188,0.49293,-0.015573
-0.0027485,-0.055796,0.0032651,0.061168,0.50011,-0.015628
-0.0026532,-0.055788,0.0032131,0.060458,0.50729,-0.015678
-0.0025583,-0.055781,0.0031605,0.05975,0.51447,-0.015723
-0.0024638,-0.055773,0.0031071,0.059044,0.52165,-0.015764
-0.0023697,-0.055766,0.003053,0.058341,0.52883,-0.015801
-0.0022759,-0.055758,0.0029983,0.05764,0.53602,-0.015834
-0.0021826,-0.055751,0.0029429,0.056941,0.5432,-0.015862
-0.0020896,-0.055743,0.0028868,0.056245,0.55038,-0.015886
-0.001997,-0.055736,0.00283,0.055551,0.55756,-0.015905
